,WinningRate(%),tot_long_short_ret(%),tot_long_ret(%),tot_short_ret(%),long_short_ret(%),IR,long_ret(%),short_ret(%)
mom_longEndMom_160D,66.96787148594377,716.3486529903233,86.49900698322992,334.43723960460943,66.55595129408358,3.667238302974195,16.350106697998413,42.88884915266495
,WinningRate(%),tot_long_short_ret(%),tot_long_ret(%),tot_short_ret(%),long_short_ret(%),IR,long_ret(%),short_ret(%)
mom_longEndMom_160D,66.96787148594377,716.3486529903233,86.49900698322992,334.43723960460943,66.55595129408358,3.667238302974195,16.350106697998413,42.88884915266495
,WinningRate(%),tot_long_short_ret(%),tot_long_ret(%),tot_short_ret(%),long_short_ret(%),IR,long_ret(%),short_ret(%)
mom_longEndMom_160D,66.96787148594377,716.3486529903233,86.49900698322992,334.43723960460943,66.55595129408358,3.667238302974195,16.350106697998413,42.88884915266495
,WinningRate(%),tot_long_short_ret(%),tot_long_ret(%),tot_short_ret(%),long_short_ret(%),IR,long_ret(%),short_ret(%)
mom_smallOrder_20D,59.80036297640653,160.580201145593,46.010026391657675,42.96159856479953,23.40735288031437,1.6519527060034298,8.667219740607223,8.1648847761133
,WinningRate(%),tot_long_short_ret(%),tot_long_ret(%),tot_short_ret(%),long_short_ret(%),IR,long_ret(%),short_ret(%)
mom_extremeLargeOrder_20D,49.09255898366606,-22.95319075499539,-30.370258435159514,-11.179279730131043,-5.5653792206207475,-0.23268434174449582,-7.641340633694704,-2.569776039766536
